id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5226496252709901,Qb7hTbmY5,2815203934,东南大学教育基金会,#seuef晚安#“无论何人无论何时，人们总要在乌云周围，寻索着浪漫的微光活下去。”———村上春树大家晚安好梦⭐图源|东南大学,,,,seuef晚安,0,0,0,2025-10-27 23:01,微博轻享版,https://wx3.sinaimg.cn/large/a7cc9a5ely1i6rbwz5z1wj20zk0np777.jpg,,,,蓝V,会员,7
5226484558990220,Qb6Z1BILy,1703010470,东南大学,#SEU活动#10月25日晚，中国首部8K太空实拍电影《窗外是蓝星》在东南大学四牌楼校区大礼堂放映，为2600余名东大本科新生及硕士生带来一场融合视觉震撼与思想启迪的星空盛宴。L东南大学的微博视频,,,,SEU活动,1,0,4,2025-10-27 22:14,微博视频号,,"http://f.video.weibocdn.com/o0/rtRiUHwOlx08svZMKIGQ01041200CyER0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761890117&ssig=utFW2DhMTX&KID=unistore,video",,,蓝V,超级会员,1
5226484558205118,Qb6Z1yqwC,1703010470,东南大学,#SEU活动#《窗外是蓝星》走进东南大学，浩瀚宇宙激发家国情怀。“电影开篇那个蔚蓝色的星球，带给我前所未有的震撼，”2025级新生王铭浩在分享中感慨，“但更让我动容的，是中国航天科技背后所承载的匠心与温度。”他特别提到对航天员王亚平与王浩泽的敬佩，“她们是真正的巾帼榜样，王浩泽学姐更让我看到东大精神在苍穹之上的闪耀。”来源：@央视新闻O网页链接,,,央视新闻,SEU活动,1,1,7,2025-10-27 22:14,,,,,,蓝V,超级会员,1
5226468586032257,Qb6zgpjgt,2815203934,东南大学教育基金会,#seuef分享#【8K超清！东大学子“沉浸式”体验太空之旅！】10月25日晚，中国首部8K太空实拍电影《窗外是蓝星》在东南大学四牌楼校区大礼堂放映，为2600余名东大本科新生及硕士生带来一场融合视觉震撼与思想启迪的星空盛宴。影片生动刻画了183天在轨驻留的壮阔历程与人文温情，也在这座始终激荡着“以科学名世、以人才报国”情怀的学术殿堂内，点燃了新一代东大人的航天梦想。O网页链接来源|东南大学,,,,seuef分享,0,0,0,2025-10-27 21:11,微博轻享版,"https://wx2.sinaimg.cn/large/a7cc9a5ely1i6r8ql1hp1j20zk0npadr.jpg,https://wx3.sinaimg.cn/large/a7cc9a5ely1i6r8ql9btnj20zk0np413.jpg,https://wx1.sinaimg.cn/large/a7cc9a5ely1i6r8qlj13nj20zk0np0xa.jpg",,,,蓝V,会员,7
5226468063055976,Qb6yqcOZW,6125001486,自明诚熊,东南大学超话读庄子《胠箧》之五虽重圣人而治天下，则是重利盗跖也。为之斗斛以量之，则并与斗斛而窃之；为之权衡以称之，则并与权衡而窃之；为之符玺以信之，则并与符玺而窃之；为之仁义以矫之，则并与仁义而窃之。何以知其然邪？彼窃钩者诛，窃国者为诸侯。诸侯之门而仁义存焉，则是非窃仁义圣知邪？故逐于大盗，揭诸侯，窃仁义并斗斛权衡符玺之利者，虽有轩冕之赏弗能劝，斧钺之威弗能禁。此重利盗跖而使不可禁者，是乃圣人之过也。故曰：鱼不可脱于渊，国之利器不可以示人。彼圣人者，天下之利器也，非所以明天下也。解读虽然重视圣人的目的是为了治天下，其实是重视为利于盗跖之徒。造了斗和斛是为了测量东西，那么盗窃就得与斗斛一并盗窃；造了权和衡是未来称东西，那么盗窃就得与权衡一并盗窃；造了符玺是为了作信物，那么盗窃就得与符玺一并盗窃；发明仁义是为了矫正国家，那么盗窃就得与仁义一并盗窃。我何以知道是这样的？你看，盗窃钩这样小物的就该诛杀，盗窃国家的反可以成为诸侯。诸侯那里有也仁义，这不就是盗窃仁义于圣智的吗？所以这才有大盗到处奔走，诸侯纷纷揭杆而起，这才致使窃仁义和斗斛、权衡、符玺之利器的，虽有高官厚禄之赏不能劝止，斧钺之威严不能禁止。这种由于加重刺激盗跖之徒而使之不可禁的情况，本就是圣人之过错。所以说：鱼不可脱于渊，国之锐利器物不可以示之于人。那些圣人，就是天下锐利之器，本不是可用来显明于天下的。这里的利器指的是仁义在内的一些奇技淫巧，舍弃根本，刺激人心，拔苗助长，往往成事不足，败事有余，故不可以示人。特作小诗·读庄子《胠箧》（一）小偷人掉头，大盗作诸侯；仁义能为用，国家岂不谋？（二）鱼不脱渊身不亡，剑无离鞘物无伤，圣人重用国蒙难，仁义刺激心不良。,,,,,0,0,0,2025-10-27 21:09,东南大学超话,,,,,黄V,会员,7
5226436321087427,Qb5Je4yT9,2140203234,肠粉大的期望,这个时候电动车开始发力回母校南京大学东南大学（全是我的母校哈哈哈哈哈出门在外面子是自己给的）鼓楼以及这条路真的好像湖南大学的那条我走了四年的路,,,,,0,0,0,2025-10-27 19:03,iPhone客户端,"https://wx2.sinaimg.cn/large/7f90e8e2gy1i6r505z5whj24eo3b04qw.jpg,https://wx2.sinaimg.cn/large/7f90e8e2gy1i6r50e1m3yj23b04eo4qu.jpg,https://wx4.sinaimg.cn/large/7f90e8e2gy1i6r50lxk6ej23b04eonph.jpg,https://wx4.sinaimg.cn/large/7f90e8e2gy1i6r50s7qxgj24eo3b07wl.jpg,https://wx1.sinaimg.cn/large/7f90e8e2gy1i6r50ymudzj23b04eo1l1.jpg,https://wx2.sinaimg.cn/large/7f90e8e2gy1i6r5142rlaj22c0340x6r.jpg",,,,普通用户,非会员,0
5226411805904610,Qb55GoM3E,2274688340,南京雨花睿泽障碍人士服务中心,当灵巧的双手遇上笨拙的可爱，一场温柔的陪伴正在上演。看东南大学自动化学院的志愿者，如何用五彩黏土，为睿泽学员筑起梦想的彩虹。色彩暖心，陪伴更暖，每一帧都是双向治愈的温暖瞬间。#志愿活动##寻美中国好事连连##残障人士##黏土#@中国残疾人福利基金会L南京雨花睿泽障碍人士服务中心的微博视频,,,中国残疾人福利基金会,"志愿活动,寻美中国好事连连,残障人士,黏土",0,0,0,2025-10-27 17:25,微博视频号,,"http://f.video.weibocdn.com/o0/Rhin7tbdlx08svHjY5qU01041200wzZ80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761890117&ssig=n8efRsL4o%2B&KID=unistore,video",,,蓝V,非会员,0
5226393102975316,Qb4Bwcu0Y,1703010470,东南大学,#SEU分享#【东南大学师生热议党的二十届四中全会精神】东南大学师生员工热切关注党的二十届四中全会，第一时间学习领会党的二十届四中全会重要精神，大家深受鼓舞、倍感振奋，纷纷表示将更加紧密地团结在以习近平同志为核心的党中央周围，以更加昂扬的姿态加快中国特色世界一流大学建设进程，为基本实现社会主义现代化，不断开创以中国式现代化全面推进强国建设、民族复兴伟业新局面贡献东大力量。来源|东大发布,,,,SEU分享,1,1,4,2025-10-27 16:11,,"https://wx3.sinaimg.cn/large/6581e0a6gy1i6q65mi44tj20uv1r2k6n.jpg,https://wx4.sinaimg.cn/large/6581e0a6gy1i6q65nwenhj20vr1sqamt.jpg,https://wx3.sinaimg.cn/large/6581e0a6gy1i6q65odxqlj20vc1rbaoo.jpg,https://wx4.sinaimg.cn/large/6581e0a6gy1i6q65p34nbj20wk2vw1hk.jpg,https://wx1.sinaimg.cn/large/6581e0a6gy1i6q65le3r1j20x928sql4.jpg,https://wx1.sinaimg.cn/large/6581e0a6gy1i6q65q9jrej20wj28snf7.jpg",,,,蓝V,超级会员,1
5226381031246813,Qb4i35elT,3585786833,洪泽发布,"#专家坐诊#为方便市民""家门口看名医""，洪泽区中医院本周邀请9名专家来院坐诊，特邀专家来自：中国中医科学院望京医院、北京中医药大学第三附属医院江苏省中医院、江苏省第二中医院、江苏省中西医结合医院、淮安市中医院东南大学附属中大医院、南京江北医院，涵盖内分泌科、治未病科、中医儿科、脾胃病科、肿瘤科、肛肠科、康复医学科、普外科，如有需求请预约就诊！O网页链接",,,,专家坐诊,0,0,1,2025-10-27 15:23,微博网页版,https://wx1.sinaimg.cn/large/d5bac3d1gy1i6qyuna1goj20hx0800ys.jpg,,,,普通用户,非会员,0
5226367600823746,Qb3Wo3sie,2384122784,中国教育报,【高校科技成果转化出教育改革新天地——走进全国高校区域技术转移转化中心（江苏）（上）】#教育大会一年间#全国高校区域技术转移转化中心（江苏）（以下简称江苏区域中心），是应运而生的。　　党的二十届三中全会指出，“完善高校科技创新机制，提高成果转化效能”。习近平总书记在全国教育大会上强调：“强化校企科研合作，让更多科技成果尽快转化为现实生产力。”　　2024年9月14日，全国教育大会结束后第四天，教育部、江苏省启动江苏区域中心建设。教育部党组书记、部长怀进鹏指出，以习近平同志为核心的党中央对高校科技成果转移转化工作高度重视，党的二十届三中全会、全国教育大会均作出相应部署。他强调，要“把区域中心打造成为创造知识和市场价值、培养人才、培育新质生产力的源头，支持国家创新效能的整体提升”。　　成立至今，江苏区域中心不断创新组织机制、搭建新质要素、强化政策供给、推动师生共创，着力构建全链条科技成果转化体系，不断取得教育综合改革新成果、新突破。8月7日，江苏省委书记信长星到全国高校生物医药区域技术转移转化中心（江苏南京）调研时指出，区域中心建设以来，围绕政策引导、科技金融、孵化机制、保障措施等积极探索，促成一批科技成果转化，值得充分肯定。他强调，要“立足江苏坚实的产业基础、丰富的应用场景，高起点推进区域中心建设，不断完善体制机制和配套体系，有效畅通技术供给端和产业需求端，持续探索高校科技成果转移转化新路径”。　　部省协同，一体推进教育综合改革　　江苏区域中心以江苏省高校科技发展中心作为专职的省级牵头抓总、统筹协调单位，以江苏省产业技术研究院、新质生产力促进中心、技术产权交易市场为支撑单位，在南京、苏州聚焦生物医药、信息通信、先进材料三大产业方向，组建4个分中心。　　分中心里，有穿着各种样式服装的人。　　穿西服的，是职业技术经理人，负责产业界与学界对接。　　穿白大褂的，是各设备平台科研人员，负责实验操作、数据分析。　　还有穿着随意的，今天正装、明天休闲装，时而一脸焦急，转瞬春风满面。他们是高校科技成果持有者，来这里或谈判或推进工作。　　江苏区域中心如同一个“反应场”，不断发生“化学反应”，推进高校科技成果加快转化为现实生产力。　　创新突破，源自顶层设计、部省协同，源自教育综合改革。　　教育部围绕三大产业，遴选清华大学、上海交通大学等59所高校参建，出台支持区域中心建设的“十条举措”等，在政策层面支持成果转化。　　一系列布局陆续展开，一种创新组织机制逐渐成形。　　教育部、江苏省成立共建工作领导小组，由部省主要负责同志任组长，分管负责同志任副组长，教育部有关司局和江苏省有关部门，南京、苏州市政府主要负责同志任成员。　　信长星指出，要举全省之力强化服务保障、落实重点事项、深化制度创新，构建全链条科技成果转化体系，真正把高校人才资源、创新资源转化为产业优势、发展优势。　　时任江苏省省长许昆林表示，要把中心建成全国高校共建共管共享的公共转化平台，支撑新型举国体制的省域实现。　　2月11日，江苏省副省长赵岩主持召开月度调度会。江苏省教育厅厅长江涌在接受记者采访时介绍，那天专班讨论的是，省级专班各成员、南京苏州两市承载区、4个分中心等建设主体，如何根据各自职责找准定位，发挥更大作用。　　专班达成共识，加快出台一批增量政策，推出一批科技金融服务产品，打造一批“一站式”公共转化平台，形成一支“专业化、管家式”服务团队，将先发优势转化为领先优势。　　“只需带着成果来，其他都交给我们。全国乃至全球的成果，我们都欢迎。”江涌说，江苏区域中心建设是当前省教育厅的“一号工程”。　　“科研成果从实验室走到生产线，小试、中试环节必不可少。”全国高校先进材料区域技术转移转化中心副主任、长三角先进材料研究院副院长程晓农说。　　“借助中心的设备，我们快速推动了十余个新药项目的研发。”南京芩领医药科技有限公司总经理孙中英说。　　赵岩在接受记者采访时介绍，江苏省委、省政府高度重视江苏区域中心这一促进高校科技成果转移转化国家级平台的建设，要努力把“全国首家”做到“全国最好”。　　目前，省级建成17个区域中心产业领域的概念验证中心，4个分中心已建成28个公共转化平台，涵盖技术研发、概念验证、中试熟化等环节。　　除设备外，江苏区域中心为创业团队提供周到细致的保障服务。全国高校信息通信区域技术转移转化中心（江苏）常务副主任孔永祥说，分中心提供“来宁无忧”全流程服务，为洽谈项目团队提供吃住行费用保障、14天免费人才公寓拎包入住、14天免费办公研发短驻工位等支持。　　2024年末，教育部高等学校科学研究发展中心与江苏区域中心共同主办中国高校科技成果交易会，全国425所高校、3600余家企业和金融机构参会，展出2716项科技成果，签约项目超350项，合同金额（含意向）近40亿元。　　据不完全统计，江苏区域中心迄今已汇聚参建高校成果4696项，推动149项落地转化。　　教育部和江苏省计划通过5年时间，将中心打造成全国高校科技成果转移转化先行示范区，形成“成果转化+人才培养”双轮驱动的创新生态。　　7月10日，2025高校技术转移转化大会在苏州举办，组织4000平方米的高校技术转移转化成果对接展，展示160余所国内外高校的科技成果超1300项，超4200名企业单位代表现场观展洽谈。许昆林在致辞中强调，江苏将深入学习贯彻习近平总书记对江苏工作重要讲话精神，统筹推进教育科技人才体制机制一体改革，在推动科技创新和产业创新融合上打头阵，聚力打造开放协同的创新生态，聚力培育面向未来的新质生产力，聚力构建全球视野的合作格局，推动创新“关键变量”转化为高质量发展“最大增量”。　　制度创新，在改革深水区提升教育治理水平　　江苏省利用制度创新来解决改革深水区老问题、新问题，填补政策“空白点”。　　7月28日，江苏省十四届人大常委会第十六次会议审议《江苏省促进科技成果转化条例（修订草案）》，本次修订针对转化难点和瓶颈制约，进一步健全科技成果转化服务体系，专门强调推进江苏区域中心建设。　　南京工业大学李仁庚教授另一个身份是民营企业家，他既能充分利用高校资源进行技术攻关，又能及时将最新成果应用到企业生产线。南京市出台政策，允许灵活运用“双聘”等形式，给予身份编制过渡保障。今年，江苏省科技厅等七部门出台《江苏省深化职务科技成果赋权改革实施方案》，激发起成果转化积极性主动性创造性。　　当然，说到成果转化，大家“念兹在兹”的，是破解“卡脖子”难题，是高水平科技自立自强。江苏省工业和信息化厅等七部门出台《关于加快首台（套）装备首批次新材料和首版次软件研发应用的政策举措》等，加大力度支持自主创新产品研发应用。　　去年年底，落户南京生物医药谷的凯乐生物技术总监、东南大学项楠教授及团队攻克“卡脖子”技术，设计出首款3激光全光谱流式细胞分析仪和4激光传统流式细胞分析仪，但因缺少资金无法量产。了解情况后，南京生物医药分中心主动对接两家银行，利用定制化信贷创新产品，不到15天就为企业提供600万元贷款。　　资金，是成果转化中的关键性难题。对此，江苏给出了系统性解决方案，定制信贷产品、创新金融政策，打造全方位科技金融支持体系。　　2024年12月，中国人民银行江苏省分行等九部门印发《关于金融支持全国高校区域技术转移转化中心（江苏）建设的指导意见》，出台33条科技金融政策，明确“综合运用股权、债券、贷款、保险等多种方式，为区域中心建设和发展提供全链条全生命周期、多元化接力式金融服务”。　　江苏注重推进战略性新兴产业母基金重点投向高校科技成果，在南京、苏州组建10亿元规模的高校科技成果转化天使基金。在成果转化早期，采用“概念验证+拨投结合+基金支持”等方式。目前，南京、苏州两市已设立“拨投结合”资金池超17亿元，设立各类基金超200亿元。　　针对高校初创企业的金融产品创新，也在不断提速，迄今已设立62个金融产品。　　今年3月，南京银行与南京生物医药分中心联合推出科技成果转化场景应用产品“研发管线贷”。“这是两家单位共同定制的创新产品，将有效解决生物医药企业研发管线的中长期资金需求。”南京银行有关负责人表示。　　同月，苏州生物医药分中心与人保财险合作定制科技成果转化保险“园研保”。中国人保财险苏州工业园区支公司团队经理邵逸说，若最终转化失败，将为高校院所和创业者转移风险。　　在政策支持、制度保障下，一批高校科技成果跨越转化“死亡谷”，汇入支持国家创新效能的洪流。　　精细谋划，撬动教育科技人才系统性变革　　“江苏区域中心的科技创新服务，能够反哺高等教育。这是一场合作共赢的双向奔赴。”江涌说。　　南京生物医药分中心在多年运营中，积累了前沿医药科技的丰富数据，是极具潜力的研究平台。高校科技成果的每一次概念认证，都留下了宝贵数据。　　“我们一直在推动，借助全国参建高校的顶尖学科，奠定南京分中心概念验证和中试熟化的基础。”南京生物医药分中心常务副主任阚苏立说，“这是体现科教融汇、产教融合要求的创新。我们正在推进高校优势学科与新区优势产业结合，推动产业发展。”江涌期待通过中心建设，进一步推动高等教育内涵式发展。　　高校成果转化，激发了新的创意。孙中英所在团队聚焦超声领域研发医疗器械和设备，启发南京生物医药分中心投资促进部部长徐桐建立“中国超声谷”的想法，把全国的医疗超声技术聚拢起来，激发更前沿的研发和生产的活力。类似的创意，在各方洽谈中不断涌现。　　成果转化也拉动了高校学科建设。项楠说，理工科专业一般通过获奖和论文被引情况评估质量。转化使成果应用指数“飙升”，服务国家重大战略的意义凸显出来，在学科评估中获得了前所未有的优势。　　人才培养，则是另一个重大收获。中国药科大学现代制药产业学院常务副院长王欣然说：“分配给今年新录取研究生的任务，源自刚刚在江苏区域中心转化的项目。也就是说，学生研究的是真实科学，将经历从科学到技术、技术到产品、产品到商品的全过程。”由转化成果孵化的公司，还被列为中心现代产业研究院卓越工程师学院的理事会单位。　　2月，教育部出台《普通本科高校产业兼职教师管理办法》，高校可以把企业工程技术人员聘请做产业教授，参与人才培养。这一政策无疑加强了江苏区域中心的人才培养功能。“这将提升学生创新创业能力，同时把教育科技人才打通了。”江涌说。　　目前，4个分中心分别会同相关高校制定江苏区域中心拔尖创新人才实战化培养方案和工程研究中心建设方案。　　在教育综合改革深水区探索提升治理水平，在服务四个面向的关键环节统筹推进教育科技人才体制机制一体改革……“中心一成立，便风华正茂。”赵岩说。（本报记者杨桂青缪志聪阿妮尔高毅哲）,,,,教育大会一年间,0,0,1,2025-10-27 14:30,微博网页版,https://wx1.sinaimg.cn/large/8e1ad3a0ly1i6qpgx0476j20sg0c4aat.jpg,,,,普通用户,非会员,0
